Date,Net,Open,High,Low,Close,Adj Close,Volume,avg_temp,avg_pressure,avg_wind,sum_precip,avg7_day,avg30_day,Oil,Hershey
4/5/2017,409.64,2366.59,2378.36,2350.52,2352.95,2352.95,3770520000,67,29.86,8,0,2358.00,2365.78,51.14,109.07
4/6/2017,308.95,2353.79,2364.16,2348.9,2357.49,2357.49,3201920000,56,29.42,10,1.57,2359.99,2365.57,51.69,108.879997
4/7/2017,802.97,2356.59,2363.76,2350.74,2355.54,2355.54,3053150000,47,29.62,17,0.01,2359.61,2365.18,52.25,109.519997
4/10/2017,303.37,2357.16,2366.37,2351.5,2357.16,2357.16,2785410000,66,30.16,10,0,2359.11,2364.76,53.06,108.32
4/11/2017,139.36,2353.92,2355.22,2337.25,2353.78,2353.78,3117420000,72,30.13,10,0,2357.33,2364.43,53.38,108.410004
4/12/2017,69.97,2352.15,2352.72,2341.18,2344.93,2344.93,3196950000,71,30.2,9,0.01,2355.11,2362.73,53.12,109.050003
4/13/2017,164.88,2341.98,2348.26,2328.95,2328.95,2328.95,3143890000,63,30.35,6,0,2351.37,2360.96,53.19,108.199997
4/17/2017,947.71,2332.62,2349.14,2332.51,2349.01,2349.01,2824710000,64,30.35,5,0,2349.98,2359.82,52.62,108.699997
4/18/2017,1090.57,2342.53,2348.35,2334.54,2342.19,2342.19,3269840000,63,30.31,9,0,2348.63,2358.72,52.46,109.470001
4/19/2017,1319.04,2346.79,2352.63,2335.05,2338.17,2338.17,3519900000,58,30.36,9,0.01,2346.22,2357.71,50.49,108.629997
4/20/2017,1613.58,2342.69,2361.37,2340.91,2355.84,2355.84,3647420000,70,30.05,8,0.11,2346.25,2357.47,50.26,108.800003
4/21/2017,2252.19,2354.74,2356.18,2344.51,2348.69,2348.69,3503360000,73,29.86,5,0.12,2345.19,2356.94,49.64,107.400002
4/24/2017,1942.93,2370.33,2376.98,2369.19,2374.15,2374.15,3690650000,55,30.05,12,0.23,2347.74,2356.99,48.9,108.440002
4/25/2017,2918.83,2381.51,2392.48,2381.15,2388.61,2388.61,3995240000,57,29.82,15,0.08,2353.20,2357.49,49.22,108.459999
4/26/2017,3257.16,2388.98,2398.16,2386.78,2387.45,2387.45,4105920000,65,29.76,7,0.01,2360.51,2358.22,49.22,107.5
4/27/2017,2855.99,2389.7,2392.1,2382.68,2388.77,2388.77,4098460000,71,29.82,8,0.01,2365.48,2358.34,48.96,107.379997
4/28/2017,3959.59,2393.68,2393.68,2382.36,2384.2,2384.2,3718270000,75,29.97,8,0.01,2370.73,2358.44,49.31,108.199997
5/1/2017,1975.88,2388.5,2394.49,2384.83,2388.33,2388.33,3199240000,74,29.85,14,0.01,2377.01,2358.77,48.83,107.050003
5/2/2017,2225.52,2391.05,2392.93,2385.82,2391.17,2391.17,3813680000,72,29.7,14,0,2381.42,2359.36,47.65,107.059998
5/3/2017,1731.72,2386.5,2389.82,2379.75,2388.13,2388.13,3893990000,62,30.03,12,0,2386.35,2360.83,47.79,106.739998
5/4/2017,1451.28,2389.79,2391.43,2380.35,2389.52,2389.52,4362540000,60,30.11,12,0.13,2388.27,2362.20,45.55,107.279999
5/5/2017,1965.06,2392.37,2399.29,2389.38,2399.29,2399.29,3540140000,67,29.53,12,1.75,2389.61,2363.98,46.23,107.550003
5/8/2017,1670.81,2399.94,2401.36,2393.92,2399.38,2399.38,3429440000,56,29.96,9,0,2391.10,2365.83,46.46,107
5/9/2017,1557.95,2401.58,2403.87,2392.44,2396.92,2396.92,3653590000,57,30,7,0,2392.12,2367.67,45.84,106.410004
5/10/2017,3171.3,2396.79,2399.74,2392.79,2399.63,2399.63,3643530000,63,29.98,5,0,2394.05,2369.04,47.28,106.629997
5/11/2017,2967.56,2394.84,2395.72,2381.74,2394.44,2394.44,3727420000,58,29.94,9,1.04,2394.81,2370.15,47.81,106.550003
5/12/2017,6798.01,2392.44,2392.44,2387.19,2390.9,2390.9,3305630000,55,30.01,9,0.31,2394.78,2370.91,47.83,107.07
5/15/2017,968.51,2393.98,2404.05,2393.94,2402.32,2402.32,3473600000,66,29.92,13,0,2396.55,2372.23,48.86,107.849998
5/16/2017,1084.88,2404.55,2405.77,2396.05,2400.67,2400.67,3420790000,67,30.05,7,0,2397.94,2373.62,48.64,107.209999
5/17/2017,1026.4,2382.95,2384.87,2356.21,2357.03,2357.03,4163000000,77,30,9,0,2392.66,2373.52,49.04,108.769997
5/18/2017,752.64,2354.69,2375.74,2352.72,2365.72,2365.72,4319420000,79,29.97,11,0.03,2388.45,2373.95,49.36,110.760002
5/19/2017,1586.45,2371.37,2389.06,2370.43,2381.73,2381.73,3825160000,82,29.96,10,0,2386.55,2374.75,50.32,111.980003
5/22/2017,1223.37,2387.21,2395.46,2386.92,2394.02,2394.02,3172830000,65,30.06,4,0.34,2385.85,2376.04,50.81,112.769997
5/23/2017,1094.34,2397.04,2400.85,2393.88,2398.42,2398.42,3213570000,64,29.89,7,0.06,2386.35,2377.41,51.12,113.139999
5/24/2017,1122.43,2401.41,2405.58,2397.99,2404.39,2404.39,3389900000,62,29.73,9,0.26,2388.04,2379.10,50.99,114.360001
5/25/2017,1096.25,2409.54,2418.71,2408.01,2415.07,2415.07,3535390000,67,29.52,10,0.75,2389.63,2381.44,48.57,115.309998
5/26/2017,2187.31,2414.5,2416.68,2412.2,2415.82,2415.82,2805040000,68,29.75,10,0,2391.52,2384.33,49.58,115.959999
5/30/2017,4353.06,2411.67,2415.26,2409.43,2412.91,2412.91,3203160000,68,30.05,8,0.17,2398.51,2386.46,49.63,115.519997
5/31/2017,4758.2,2415.63,2415.99,2403.59,2411.8,2411.8,4516110000,73,30.01,6,0.02,2404.27,2388.78,48.29,115.269997
6/1/2017,4985.19,2415.65,2430.06,2413.54,2430.06,2430.06,3857140000,74,29.99,7,0,2410.31,2391.85,48.32,115.82
6/2/2017,6187.97,2431.28,2440.23,2427.71,2439.07,2439.07,3461680000,72,30.01,8,0,2415.94,2394.62,47.68,115.879997
6/5/2017,2846.44,2437.83,2439.55,2434.32,2436.1,2436.1,2912600000,73,29.74,7,0.01,2420.65,2397.53,47.4,115.43
6/6/2017,1983.17,2431.92,2436.21,2428.12,2429.33,2429.33,3357840000,72,29.75,11,0,2423.77,2399.37,48.13,115.480003
9/20/2017,4901.67,2506.84,2508.85,2496.67,2508.24,2508.24,3530010000,79,29.95,8,0,2499.70,2465.28,50.29,108.419998
9/21/2017,4967.33,2507.16,2507.16,2499,2500.6,2500.6,2930860000,78,30.03,5,0,2501.26,2466.17,50.58,107.550003
9/22/2017,7651.09,2497.26,2503.47,2496.54,2502.22,2502.22,2865960000,77,30.04,5,0,2501.98,2468.30,50.33,106.480003
9/25/2017,4347.45,2499.39,2502.54,2488.03,2496.66,2496.66,3297890000,81,30.03,5,0,2501.76,2470.15,51.85,106.830002
9/26/2017,3603.15,2501.04,2503.51,2495.12,2496.84,2496.84,3043110000,78,29.99,9,0,2501.91,2471.18,51.59,107.209999
9/27/2017,3082.86,2503.3,2511.75,2495.91,2507.04,2507.04,3456030000,82,29.86,10,0,2502.77,2472.59,52.14,108.220001
9/28/2017,2805.82,2503.41,2510.81,2502.93,2510.06,2510.06,3168620000,74,29.88,14,0,2503.54,2473.99,51.62,107.82
9/29/2017,5305.93,2509.96,2519.44,2507.99,2519.36,2519.36,3211920000,67,30.08,7,0,2505.13,2476.97,51.67,109.169998
10/2/2017,2605.83,2521.2,2529.23,2520.4,2529.12,2529.12,3199730000,63,30.41,4,0,2507.74,2480.42,50.59,108.839996
10/3/2017,2921.93,2530.34,2535.13,2528.85,2534.58,2534.58,3068850000,66,30.55,6,0,2511.99,2483.96,50.44,107.660004
