Date,Open,High,Low,Close,Adj Close,Volume
4/5/2017,2366.590088,2378.360107,2350.52002,2352.949951,2352.949951,3770520000
4/6/2017,2353.790039,2364.159912,2348.899902,2357.48999,2357.48999,3201920000
4/7/2017,2356.590088,2363.76001,2350.73999,2355.540039,2355.540039,3053150000
4/10/2017,2357.159912,2366.370117,2351.5,2357.159912,2357.159912,2785410000
4/11/2017,2353.919922,2355.219971,2337.25,2353.780029,2353.780029,3117420000
4/12/2017,2352.149902,2352.719971,2341.179932,2344.929932,2344.929932,3196950000
4/13/2017,2341.97998,2348.26001,2328.949951,2328.949951,2328.949951,3143890000
4/17/2017,2332.620117,2349.139893,2332.51001,2349.01001,2349.01001,2824710000
4/18/2017,2342.530029,2348.350098,2334.540039,2342.189941,2342.189941,3269840000
4/19/2017,2346.790039,2352.629883,2335.050049,2338.169922,2338.169922,3519900000
4/20/2017,2342.689941,2361.370117,2340.909912,2355.840088,2355.840088,3647420000
4/21/2017,2354.73999,2356.179932,2344.51001,2348.689941,2348.689941,3503360000
4/24/2017,2370.330078,2376.97998,2369.189941,2374.149902,2374.149902,3690650000
4/25/2017,2381.51001,2392.47998,2381.149902,2388.610107,2388.610107,3995240000
4/26/2017,2388.97998,2398.159912,2386.780029,2387.449951,2387.449951,4105920000
4/27/2017,2389.699951,2392.100098,2382.679932,2388.77002,2388.77002,4098460000
4/28/2017,2393.679932,2393.679932,2382.360107,2384.199951,2384.199951,3718270000
5/1/2017,2388.5,2394.48999,2384.830078,2388.330078,2388.330078,3199240000
5/2/2017,2391.050049,2392.929932,2385.820068,2391.169922,2391.169922,3813680000
5/3/2017,2386.5,2389.820068,2379.75,2388.129883,2388.129883,3893990000
5/4/2017,2389.790039,2391.429932,2380.350098,2389.52002,2389.52002,4362540000
5/5/2017,2392.370117,2399.290039,2389.379883,2399.290039,2399.290039,3540140000
5/8/2017,2399.939941,2401.360107,2393.919922,2399.379883,2399.379883,3429440000
5/9/2017,2401.580078,2403.870117,2392.439941,2396.919922,2396.919922,3653590000
5/10/2017,2396.790039,2399.73999,2392.790039,2399.629883,2399.629883,3643530000
5/11/2017,2394.840088,2395.719971,2381.73999,2394.439941,2394.439941,3727420000
5/12/2017,2392.439941,2392.439941,2387.189941,2390.899902,2390.899902,3305630000
5/15/2017,2393.97998,2404.050049,2393.939941,2402.320068,2402.320068,3473600000
5/16/2017,2404.550049,2405.77002,2396.050049,2400.669922,2400.669922,3420790000
5/17/2017,2382.949951,2384.870117,2356.209961,2357.030029,2357.030029,4163000000
5/18/2017,2354.689941,2375.73999,2352.719971,2365.719971,2365.719971,4319420000
5/19/2017,2371.370117,2389.060059,2370.429932,2381.72998,2381.72998,3825160000
5/22/2017,2387.209961,2395.459961,2386.919922,2394.02002,2394.02002,3172830000
5/23/2017,2397.040039,2400.850098,2393.879883,2398.419922,2398.419922,3213570000
5/24/2017,2401.409912,2405.580078,2397.98999,2404.389893,2404.389893,3389900000
5/25/2017,2409.540039,2418.709961,2408.01001,2415.070068,2415.070068,3535390000
5/26/2017,2414.5,2416.679932,2412.199951,2415.820068,2415.820068,2805040000
5/30/2017,2411.669922,2415.26001,2409.429932,2412.909912,2412.909912,3203160000
5/31/2017,2415.629883,2415.98999,2403.590088,2411.800049,2411.800049,4516110000
6/1/2017,2415.649902,2430.060059,2413.540039,2430.060059,2430.060059,3857140000
6/2/2017,2431.280029,2440.22998,2427.709961,2439.070068,2439.070068,3461680000
6/5/2017,2437.830078,2439.550049,2434.320068,2436.100098,2436.100098,2912600000
6/6/2017,2431.919922,2436.209961,2428.120117,2429.330078,2429.330078,3357840000
